F-volt,V-volt,P-volt,Object,Object Name
0,1.129032258,1.417399804,H,PLA
0.004887586,1.163245357,1.202346041,H,PLA
0.009775171,1.138807429,1.549364614,H,PLA
0.004887586,1.109481916,1.524926686,H,PLA
0.004887586,1.109481916,1.295210166,H,PLA
0.004887586,1.031280547,1.314760508,H,PLA
0.004887586,1.021505376,1.065493646,H,PLA
0,0.987292278,1.392961877,H,PLA
0.004887586,0.957966764,1.070381232,H,PLA
0,1.001955034,1.290322581,H,PLA
0,0.987292278,1.417399804,H,PLA
4.428152493,4.574780059,4.506353861,H,PLA
4.457478006,4.672531769,4.521016618,H,PLA
4.467253177,4.677419355,4.530791789,H,PLA
4.472140762,4.731182796,4.530791789,H,PLA
0.004887586,1.451612903,4.242424242,H,PLA
0,1.642228739,3.631476051,H,PLA
0.004887586,1.774193548,3.914956012,H,PLA
4.462365591,5,4.525904203,H,PLA
4.481915934,5,4.530791789,H,PLA
4.486803519,5,4.535679374,H,PLA
0,1.520039101,3.8514174,H,PLA
4.349951124,3.675464321,4.501466276,H,PLA
4.491691105,4.652981427,4.525904203,H,PLA
0,1.788856305,4.252199413,H,PLA
0,2.062561095,3.753665689,H,PLA
4.393939394,5,4.501466276,H,PLA
4.481915934,5,4.525904203,H,PLA
4.491691105,5,4.525904203,H,PLA
0.004887586,1.911045943,3.968719453,H,PLA
0,2.077223851,3.709677419,H,PLA
0,2.121212121,3.450635386,H,PLA
4.467253177,5,4.49657869,H,PLA
4.481915934,5,4.511241447,H,PLA
0,0.615835777,4.271749756,H,PLA
0,1.270772239,3.778103617,H,PLA
0.004887586,1.295210166,3.616813294,H,PLA
4.486803519,5,4.535679374,H,PLA
4.49657869,5,4.535679374,H,PLA
0,0.967741935,4.26686217,H,PLA
0.004887586,1.329423265,4.056695992,H,PLA
0.004887586,1.339198436,3.792766373,H,PLA
0,1.417399804,3.323558162,H,PLA
4.477028348,5,4.54056696,H,PLA
4.491691105,5,4.54056696,H,PLA
4.49657869,4.975562072,4.54056696,H,PLA
4.501466276,4.916911046,4.545454545,H,PLA
4.501466276,4.877810362,4.545454545,H,PLA
4.501466276,4.784946237,4.545454545,H,PLA
4.506353861,4.696969697,4.54056696,H,PLA
4.501466276,4.657869013,4.545454545,H,PLA
4.506353861,4.613880743,4.54056696,H,PLA
4.511241447,4.579667644,4.54056696,H,PLA
4.511241447,4.550342131,4.54056696,H,PLA
0.004887586,0.571847507,4.281524927,H,PLA
0,1.324535679,4.271749756,H,PLA
0.004887586,1.427174976,4.242424242,H,PLA
0,1.432062561,3.954056696,H,PLA
0,1.500488759,3.509286413,H,PLA
0,1.46627566,3.137829912,H,PLA
0.004887586,1.427174976,3.132942326,H,PLA
0.004887586,1.407624633,2.751710655,H,PLA
0.009775171,1.383186706,2.639296188,H,PLA
0,1.441837732,2.478005865,H,PLA
0.009775171,1.402737048,2.409579668,H,PLA
0,1.412512219,2.350928641,H,PLA
4.467253177,5,4.535679374,H,PLA
4.501466276,5,4.545454545,H,PLA
4.49657869,5,4.545454545,H,PLA
4.506353861,5,4.545454545,H,PLA
4.506353861,4.980449658,4.545454545,H,PLA
4.506353861,4.936461388,4.550342131,H,PLA
0.004887586,0.899315738,4.281524927,H,PLA
0,1.319648094,4.276637341,H,PLA
0.004887586,1.358748778,3.890518084,H,PLA
0,1.432062561,3.748778104,H,PLA
0,1.446725318,3.235581623,H,PLA
4.49657869,5,4.545454545,H,PLA
4.501466276,5,4.550342131,H,PLA
4.511241447,5,4.550342131,H,PLA
0.004887586,0.884652981,4.281524927,H,PLA
0.004887586,1.441837732,4.242424242,H,PLA
0,1.476050831,3.846529814,H,PLA
4.506353861,5,4.545454545,H,PLA
4.521016618,5,4.545454545,H,PLA
0.004887586,1.045943304,4.281524927,H,PLA
0.004887586,1.432062561,4.242424242,H,PLA
0.004887586,1.529814272,3.988269795,H,PLA
0,1.598240469,3.519061584,H,PLA
4.506353861,5,4.54056696,H,PLA
4.516129032,5,4.54056696,H,PLA
4.516129032,5,4.535679374,H,PLA
0,1.173020528,4.26686217,H,PLA
0,1.603128055,4.242424242,H,PLA
0.004887586,1.642228739,3.870967742,H,PLA
4.511241447,5,4.560117302,H,PLA
4.516129032,5,4.555229717,H,PLA
4.521016618,4.970674487,4.555229717,H,PLA
4.521016618,4.897360704,4.560117302,H,PLA
0,1.153470186,4.281524927,H,PLA
0.004887586,1.451612903,4.105571848,H,PLA
0.004887586,1.500488759,3.753665689,H,PLA
0,1.485826002,3.597262952,H,PLA
4.506353861,5,4.545454545,H,PLA
4.521016618,5,4.550342131,H,PLA
4.521016618,5,4.555229717,H,PLA
4.521016618,3.196480938,4.340175953,H,PLA
0.004887586,1.270772239,4.281524927,H,PLA
0.004887586,1.37829912,4.247311828,H,PLA
4.516129032,5,4.550342131,H,PLA
4.525904203,5,4.545454545,H,PLA
4.525904203,5,4.555229717,H,PLA
0,1.163245357,4.271749756,H,PLA
0.004887586,1.471163245,4.247311828,H,PLA
4.525904203,5,4.550342131,H,PLA
4.530791789,5,4.550342131,H,PLA
0,0.786901271,4.291300098,H,PLA
0,1.300097752,4.281524927,H,PLA
0.009775171,1.344086022,4.242424242,H,PLA
0,1.304985337,4.066471163,H,PLA
4.525904203,5,4.550342131,H,PLA
4.530791789,5,4.550342131,H,PLA
4.535679374,4.985337243,4.555229717,H,PLA
4.535679374,4.916911046,4.555229717,H,PLA
1.363636364,0.400782014,4.26686217,H,PLA
0.004887586,1.031280547,4.276637341,H,PLA
0,1.207233627,4.276637341,H,PLA
0.004887586,1.251221896,3.963831867,H,PLA
0.004887586,1.23655914,3.519061584,H,PLA
0.004887586,1.314760508,3.294232649,H,PLA
0,1.270772239,3.137829912,H,PLA
4.340175953,5,4.521016618,H,PLA
4.521016618,5,4.565004888,H,PLA
4.525904203,5,4.565004888,H,PLA
0,1.329423265,4.286412512,H,PLA
0,1.432062561,3.778103617,H,PLA
0.004887586,1.436950147,3.8514174,H,PLA
0.004887586,1.476050831,3.450635386,H,PLA
4.516129032,5,4.555229717,H,PLA
4.525904203,5,4.560117302,H,PLA
0,0.977517107,4.276637341,H,PLA
0.004887586,1.275659824,3.567937439,H,PLA
4.530791789,5,4.550342131,H,PLA
0.004887586,0.542521994,4.286412512,H,PLA
0,1.168132942,4.276637341,H,PLA
0,1.23655914,3.76344086,H,PLA
4.530791789,5,4.555229717,H,PLA
4.535679374,5,4.555229717,H,PLA
0.131964809,0.865102639,4.281524927,H,PLA
4.521016618,5,4.555229717,H,PLA
0,1.041055718,4.281524927,H,PLA
4.521016618,5,4.550342131,H,PLA
0,1.109481916,4.276637341,H,PLA
0,1.436950147,4.242424242,H,PLA
4.506353861,5,4.550342131,H,PLA
4.535679374,5,4.555229717,H,PLA
4.535679374,4.975562072,4.560117302,H,PLA
4.54056696,4.946236559,4.555229717,H,PLA
0.004887586,0.977517107,4.286412512,H,PLA
0.004887586,1.500488759,4.281524927,H,PLA
0,1.656891496,4.242424242,H,PLA
0.004887586,1.700879765,3.831867058,H,PLA
0.004887586,1.725317693,3.910068426,H,PLA
0,1.720430108,3.308895406,H,PLA
4.530791789,5,4.550342131,H,PLA
4.545454545,5,4.555229717,H,PLA
4.545454545,5,4.555229717,H,PLA
0.22971652,0.31769306,4.271749756,H,PLA
0,1.241446725,4.281524927,H,PLA
0,1.392961877,4.247311828,H,PLA
4.501466276,5,4.545454545,H,PLA
4.521016618,5,4.550342131,H,PLA
4.530791789,5,4.555229717,H,PLA
0.004887586,0.992179863,4.276637341,H,PLA
0.004887586,1.490713587,4.281524927,H,PLA
0,1.500488759,3.831867058,H,PLA
0,1.544477028,3.558162268,H,PLA
4.525904203,5,4.560117302,H,PLA
4.535679374,5,4.565004888,H,PLA
4.54056696,5,4.565004888,H,PLA
4.54056696,5,4.565004888,H,PLA
0,0.923753666,4.276637341,H,PLA
0.004887586,1.402737048,4.286412512,H,PLA
0.004887586,1.417399804,3.616813294,H,PLA
0,1.480938416,3.460410557,H,PLA
4.525904203,5,4.555229717,H,PLA
4.545454545,5,4.555229717,H,PLA
4.550342131,5,4.560117302,H,PLA
4.555229717,4.985337243,4.560117302,H,PLA
4.550342131,4.965786901,4.560117302,H,PLA
4.555229717,4.91202346,4.555229717,H,PLA
4.555229717,4.833822092,4.560117302,H,PLA
4.555229717,4.794721408,4.565004888,H,PLA
4.555229717,4.736070381,4.560117302,H,PLA
0.004887586,0.738025415,4.286412512,H,PLA
0,1.143695015,4.276637341,H,PLA
0.004887586,1.177908113,4.281524927,H,PLA
0,1.265884653,4.242424242,H,PLA
4.472140762,5,4.560117302,H,PLA
4.521016618,5,4.565004888,H,PLA
0,0.73313783,3.084066471,S,SR
0,0.811339198,2.575757576,S,SR
0,0.855327468,2.75659824,S,SR
0,0.904203324,2.218963832,S,SR
0,0.972629521,2.438905181,S,SR
4.672531769,4.6285435,4.951124145,S,SR
4.789833822,5,4.951124145,S,SR
4.789833822,5,4.946236559,S,SR
4.789833822,5,4.946236559,S,SR
4.789833822,5,4.946236559,S,SR
0,1.945259042,1.158357771,S,SR
0.004887586,1.974584555,1.495601173,S,SR
4.799608993,5,4.960899316,S,SR
4.804496579,4.687194526,4.95601173,S,SR
0,1.661779081,1.143695015,S,SR
4.799608993,5,4.985337243,S,SR
4.828934506,4.68230694,4.990224829,S,SR
0,1.544477028,0.659824047,S,SR
0,1.559139785,4.301075269,S,SR
4.838709677,4.887585533,4.985337243,S,SR
4.838709677,4.467253177,4.985337243,S,SR
0,1.476050831,0.454545455,S,SR
4.716520039,5,4.985337243,S,SR
4.833822092,4.731182796,4.985337243,S,SR
4.833822092,4.472140762,4.985337243,S,SR
4.838709677,4.31085044,4.985337243,S,SR
4.833822092,4.286412512,4.990224829,S,SR
0,1.769305963,0.894428152,S,SR
4.824046921,5,4.985337243,S,SR
4.833822092,4.633431085,4.985337243,S,SR
1.529814272,2.038123167,3.826979472,S,SR
0,1.710654936,1.432062561,S,SR
4.833822092,5,4.990224829,S,SR
4.838709677,4.511241447,4.985337243,S,SR
4.833822092,0,1.515151515,S,SR
0,1.749755621,1.344086022,S,SR
4.838709677,5,4.985337243,S,SR
4.833822092,4.569892473,4.980449658,S,SR
4.833822092,4.349951124,4.980449658,S,SR
0,1.691104594,0.826001955,S,SR
0,1.862170088,1.417399804,S,SR
0,1.9257087,1.803519062,S,SR
4.838709677,4.965786901,4.985337243,S,SR
4.838709677,4.569892473,4.990224829,S,SR
4.838709677,4.359726295,4.985337243,S,SR
0,1.637341153,0.884652981,S,SR
0,1.749755621,1.456500489,S,SR
0,1.754643206,1.534701857,S,SR
0,1.769305963,1.676441838,S,SR
0,1.73998045,1.705767351,S,SR
0,1.759530792,1.417399804,S,SR
4.838709677,5,4.985337243,S,SR
4.838709677,4.6285435,4.985337243,S,SR
4.843597263,4.408602151,4.990224829,S,SR
4.843597263,4.271749756,4.985337243,S,SR
0,1.529814272,0.816226784,S,SR
0,1.666666667,1.388074291,S,SR
4.843597263,5,4.990224829,S,SR
4.848484848,4.555229717,4.985337243,S,SR
0,1.554252199,0.684261975,S,SR
0,1.744868035,1.392961877,S,SR
4.359726295,3.954056696,4.980449658,S,SR
4.843597263,4.706744868,4.990224829,S,SR
4.853372434,4.330400782,4.990224829,S,SR
0,1.725317693,0.782013685,S,SR
0,1.735092864,1.383186706,S,SR
0,1.735092864,1.23655914,S,SR
0,1.637341153,1.212121212,S,SR
4.530791789,4.369501466,4.985337243,S,SR
4.843597263,4.892473118,4.990224829,S,SR
4.848484848,4.516129032,4.985337243,S,SR
4.848484848,4.340175953,4.985337243,S,SR
0,1.285434995,0.513196481,S,SR
0,1.554252199,1.436950147,S,SR
4.696969697,5,4.995112414,S,SR
4.853372434,4.833822092,4.990224829,S,SR
4.853372434,4.481915934,4.990224829,S,SR
4.853372434,4.315738025,4.990224829,S,SR
0,1.593352884,0.894428152,S,SR
0,1.764418377,1.573802542,S,SR
0.004887586,1.808406647,1.945259042,S,SR
0,1.876832845,1.979472141,S,SR
0,1.876832845,1.686217009,S,SR
0,1.83773216,1.974584555,S,SR
4.843597263,5,4.990224829,S,SR
4.848484848,4.652981427,4.990224829,S,SR
4.843597263,4.477028348,4.995112414,S,SR
4.848484848,4.340175953,4.995112414,S,SR
0.112414467,1.417399804,0,S,SR
0,1.876832845,0.029325513,S,SR
4.848484848,4.970674487,4.990224829,S,SR
4.848484848,4.589442815,4.990224829,S,SR
4.848484848,4.389051808,4.990224829,S,SR
0,1.656891496,0.650048876,S,SR
4.843597263,5,4.990224829,S,SR
4.848484848,4.613880743,4.990224829,S,SR
0,2.238514174,0.322580645,S,SR
4.819159335,5,4.990224829,S,SR
4.848484848,4.750733138,4.985337243,S,SR
0,1.730205279,0.068426197,S,SR
4.784946237,5,4.995112414,S,SR
4.848484848,4.833822092,4.990224829,S,SR
4.853372434,4.481915934,4.985337243,S,SR
0.004887586,1.871945259,0.083088954,S,SR
0,1.56402737,1.275659824,S,SR
4.853372434,5,4.990224829,S,SR
4.848484848,4.662756598,4.990224829,S,SR
4.848484848,4.379276637,4.990224829,S,SR
0,1.671554252,0.708699902,S,SR
4.804496579,5,4.995112414,S,SR
4.848484848,4.692082111,4.990224829,S,SR
4.848484848,4.320625611,4.985337243,S,SR
0,1.984359726,0.562072336,S,SR
0,1.603128055,0.913978495,S,SR
4.780058651,5,4.995112414,S,SR
0.249266862,1.764418377,0.048875855,S,SR
0,1.549364614,0.806451613,S,SR
4.848484848,5,4.995112414,S,SR
4.853372434,4.608993157,5,S,SR
4.853372434,4.408602151,4.990224829,S,SR
0,1.603128055,0.175953079,S,SR
0,1.647116325,1.23655914,S,SR
4.794721408,5,4.985337243,S,SR
4.853372434,4.77028348,4.995112414,S,SR
4.848484848,4.437927664,4.995112414,S,SR
0,1.842619746,0.762463343,S,SR
0,1.559139785,1.119257087,S,SR
0,1.539589443,1.109481916,S,SR
4.853372434,5,4.995112414,S,SR
4.853372434,4.648093842,4.995112414,S,SR
4.853372434,1.368523949,4.731182796,S,SR
0,1.578690127,1.10459433,S,SR
4.853372434,5,4.990224829,S,SR
4.853372434,4.613880743,4.990224829,S,SR
4.853372434,4.408602151,4.995112414,S,SR
0,1.485826002,0.430107527,S,SR
0,1.485826002,0.928641251,S,SR
4.853372434,5,4.990224829,S,SR
4.848484848,4.72629521,4.995112414,S,SR
4.853372434,4.516129032,4.990224829,S,SR
4.853372434,4.345063539,4.995112414,S,SR
4.853372434,4.164222874,4.990224829,S,SR
0,1.764418377,0.078201369,S,SR
0,1.603128055,0.884652981,S,SR
4.824046921,5,4.995112414,S,SR
0,1.045943304,1.207233627,S,SR
0,1.045943304,1.397849462,S,SR
4.848484848,5,4.995112414,S,SR
0,2.106549365,0.175953079,S,SR
4.2228739,4.384164223,4.990224829,S,SR
4.853372434,4.892473118,4.985337243,S,SR
4.853372434,4.535679374,4.990224829,S,SR
0,2.023460411,0.50342131,S,SR
0,1.637341153,0.91886608,S,SR
0,1.627565982,1.37829912,S,SR
4.853372434,5,4.990224829,S,SR
4.853372434,4.623655914,4.995112414,S,SR
4.853372434,4.379276637,4.995112414,S,SR
0,1.681329423,0.87487781,S,SR
0,1.744868035,1.05083089,S,SR
0,1.686217009,1.436950147,S,SR
4.853372434,5,4.990224829,S,SR
4.848484848,4.721407625,4.990224829,S,SR
4.853372434,4.457478006,4.990224829,S,SR
4.85826002,0,0,S,SR
0,1.710654936,1.285434995,S,SR
4.843597263,5,4.990224829,S,SR
4.853372434,4.843597263,4.995112414,S,SR
4.848484848,4.579667644,4.990224829,S,SR
0,1.945259042,0.102639296,S,SR
0,1.622678397,0.850439883,S,SR
4.853372434,5,4.990224829,S,SR
4.853372434,4.633431085,4.990224829,S,SR
0,1.862170088,0.117302053,S,SR
0,2.043010753,1.471163245,S,SR
0,1.226783969,1.480938416,S,SR
4.853372434,5,4.995112414,S,SR
4.853372434,4.569892473,4.990224829,S,SR
4.853372434,4.335288368,4.990224829,S,SR
0,2.170087977,0.449657869,S,SR
4.833822092,5,4.990224829,S,SR
4.848484848,4.68230694,4.990224829,S,SR
0,1.974584555,1.036168133,S,SR
4.848484848,4.965786901,4.990224829,S,SR
4.848484848,4.413489736,4.995112414,S,SR
4.848484848,4.017595308,4.995112414,S,SR
4.77028348,5,4.990224829,S,SR
0,1.671554252,4.648093842,S,SR
4.848484848,4.809384164,4.990224829,S,SR
0,1.871945259,0.434995112,S,SR
4.848484848,5,4.990224829,S,SR
4.848484848,4.501466276,4.990224829,S,SR
4.838709677,5,4.995112414,S,SR
4.853372434,4.428152493,4.990224829,S,SR
4.828934506,5,4.995112414,S,SR
4.848484848,4.599217986,4.990224829,S,SR
4.848484848,4.232649071,4.990224829,S,SR
0,2.15542522,0.923753666,S,SR
